#station time x y
2 0.0 52.5555918486 23.8659730926
3 0.0 36.7394051198 29.5488232676
4 0.0 54.7621066511 52.6650913788
5 0.0 54.7594749488 52.6731183125
1 0.0 28.603701203 63.4334146705
2 0.2 52.5555225046 23.8662496008
3 0.2 36.7394529177 29.5488216582
4 0.2 54.7609934714 52.6678629964
5 0.2 54.7594986199 52.6731178858
1 0.2 28.6031096744 63.4345403945
2 0.4 52.5554531603 23.8665261083
3 0.4 36.7395007152 29.5488200495
4 0.4 54.7608087096 52.668416637
5 0.4 54.7594986199 52.6731178858
1 0.4 28.5997842328 63.4357798473
2 0.6 52.5554077689 23.8668021443
3 0.6 36.7395485127 29.5488184401
4 0.6 54.7607850381 52.6684170644
5 0.6 54.7594986199 52.6731178858
1 0.6 28.5997606646 63.4357808278
2 0.8 52.5537722338 23.8844434658
3 0.8 36.7395963102 29.5488168307
4 0.8 54.760737696 52.668417918
5 0.8 54.7594986199 52.6731178858
1 0.8 28.5997370963 63.4357818083
2 1.0 52.5534583355 23.8841745039
3 1.0 36.739939491 29.5493556975
4 1.0 54.7606689861 52.6686943115
5 1.0 54.7594986199 52.6731178858
1 1.0 28.5995432389 63.4355145931
2 1.2 52.5533171343 23.8844524265
3 1.2 36.7400393847 29.5496275439
4 1.2 54.760621644 52.6686951658
5 1.2 54.7594986199 52.6731178858
1 1.2 28.5995432389 63.4355145931
2 1.4 52.5532213235 23.884454313
3 1.4 36.7401349797 29.5496243258
4 1.4 54.7605743014 52.6686960194
5 1.4 54.7594986199 52.6731178858
1 1.4 28.5994961024 63.4355165541
2 1.6 52.5531973709 23.8844547852
3 1.6 36.7401827776 29.5496227171
4 1.6 54.7605506304 52.6686964468
5 1.6 54.7594986199 52.6731178858
1 1.6 28.5994961024 63.4355165541
2 1.8 52.5531519805 23.8847308212
3 1.8 36.7402066764 29.5496219121
4 1.8 54.7605269593 52.6686968736
5 1.8 54.7594986199 52.6731178858
1 1.8 28.5994961024 63.4355165541
2 2.0 52.5530801223 23.8847322363
3 2.0 36.7402305751 29.5496211077
4 2.0 54.7605032883 52.6686973004
5 2.0 54.7594963161 52.6728427732
1 2.0 28.5994725342 63.4355175347
2 2.2 52.5530561697 23.8847327078
3 2.2 36.7402305751 29.5496211077
4 2.2 54.7604796172 52.6686977278
5 2.2 54.7594963161 52.6728427732
1 2.2 28.5994018294 63.4355204756
2 2.4 52.5530561697 23.8847327078
3 2.4 36.7402544738 29.5496203034
4 2.4 54.760481921 52.6689728397
5 2.4 54.7594726451 52.6728432
1 2.4 28.5993782612 63.4355214561
2 2.6 52.5530322171 23.8847331792
3 2.6 36.7402826713 29.5498945636
4 2.6 54.7604582495 52.6689732671
5 2.6 54.7594963161 52.6728427732
1 2.6 28.5992763558 63.4363515343
2 2.8 52.5530322171 23.8847331792
3 2.8 36.7403543675 29.5498921498
4 2.8 54.7604582495 52.6689732671
5 2.8 54.7595199872 52.6728423465
1 2.8 28.6018761722 63.4439512109
2 3.0 52.5530132935 23.8852838369
3 3.0 36.740402165 29.5498905411
4 3.0 54.7604582495 52.6689732671
5 3.0 54.7595176834 52.672567234
1 3.0 28.5989550643 63.4490277608
2 3.2 52.5530158082 23.8855589299
3 3.2 36.7404260638 29.5498897368
4 3.2 54.7604582495 52.6689732671
5 3.2 54.7594466698 52.672568515
1 3.2 28.5960751197 63.4513498115
2 3.4 52.5530158082 23.8855589299
3 3.4 36.7405020587 29.5501623876
4 3.4 54.7604582495 52.6689732671
5 3.4 54.7595176834 52.672567234
1 3.4 28.6000236196 63.4591686533
2 3.6 52.553180962 23.8852805352
3 3.6 36.7405737554 29.5501599745
4 3.6 54.7604582495 52.6689732671
5 3.6 54.7594940123 52.6725676614
1 3.6 28.5914057663 63.4697125411
2 3.8 52.5534154593 23.884725633
3 3.8 36.7406497504 29.550432626
4 3.8 54.760481921 52.6689728397
5 3.8 54.7593993276 52.6725693692
1 3.8 28.5760455164 63.4731045628
2 4.0 52.5535301933 23.8841730888
3 4.0 36.7399204032 29.5466042415
4 4.0 54.760481921 52.6689728397
5 4.0 54.7593993276 52.6725693692
1 4.0 28.5657277842 63.454264473
2 4.2 52.5535541458 23.8841726173
3 4.2 36.7397531115 29.5466098733
4 4.2 54.760481921 52.6689728397
5 4.2 54.7593993276 52.6725693692
1 4.2 28.5608525608 63.438776495
2 4.4 52.5535516316 23.8838975243
3 4.4 36.7399810968 29.5474278278
4 4.4 54.760481921 52.6689728397
5 4.4 54.7593756566 52.672569796
1 4.4 28.5728499062 63.4236872204
2 4.6 52.5535541458 23.8841726173
3 4.6 36.7400049955 29.5474270234
4 4.6 54.760481921 52.6689728397
5 4.6 54.7594703413 52.6725680882
1 4.6 28.5969396864 63.4045163124
2 4.8 52.5535541458 23.8841726173
3 4.8 36.7400049955 29.5474270234
4 4.8 54.760481921 52.6689728397
5 4.8 54.7595176834 52.672567234
1 4.8 28.6253475855 63.3829641721
2 5.0 52.5535301933 23.8841730888
3 5.0 36.7400288943 29.5474262191
4 5.0 54.760505592 52.6689724129
5 5.0 54.7595176834 52.672567234
1 5.0 28.6490098609 63.3684919553
2 5.2 52.5535301933 23.8841730888
3 5.2 36.7400288943 29.5474262191
4 5.2 54.760505592 52.6689724129
5 5.2 54.7595413545 52.6725668072
1 5.2 28.6655687284 63.3587197704
2 5.4 52.5535301933 23.8841730888
