#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	28.571	0.966
2	60.000	0.908
3	64.583	0.880
4	69.333	0.851
5	71.875	0.831
6	70.833	0.816
7	72.222	0.806
8	70.909	0.808
9	72.727	0.801
10	72.857	0.793
11	72.222	0.789
12	72.156	0.782
13	72.202	0.781
14	73.000	0.776
15	72.755	0.770
16	72.463	0.767
17	72.554	0.763
18	72.307	0.760
19	73.253	0.757
20	73.103	0.753
21	72.826	0.752
22	72.916	0.752
23	73.107	0.751
24	72.761	0.749
25	73.090	0.749
26	72.631	0.749
27	72.419	0.749
28	72.682	0.747
29	72.841	0.744
30	72.878	0.743
31	72.807	0.743
32	72.765	0.744
33	72.839	0.744
34	72.933	0.743
35	72.962	0.743
36	72.704	0.744
37	72.738	0.743
38	72.738	0.741
39	73.054	0.739
40	73.107	0.737
41	72.827	0.734
42	73.010	0.734
43	72.907	0.732
44	73.128	0.732
45	73.026	0.732
46	72.941	0.732
47	72.936	0.731
48	72.676	0.731
49	72.660	0.732
50	72.432	0.734
51	72.325	0.735
52	72.121	0.734
53	71.986	0.733
54	71.916	0.734
55	71.931	0.733
56	71.967	0.734
57	71.845	0.733
58	71.782	0.733
59	71.765	0.732
60	71.610	0.733
