#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	28.571	0.966
2	60.000	0.908
3	64.583	0.879
4	70.666	0.840
5	72.631	0.820
6	74.166	0.793
7	76.223	0.773
8	75.757	0.761
9	76.439	0.748
10	76.666	0.738
11	76.623	0.730
12	76.862	0.716
13	75.985	0.704
14	77.333	0.699
15	77.044	0.701
16	77.391	0.701
17	77.868	0.696
18	78.205	0.686
19	78.208	0.679
20	77.931	0.672
21	77.826	0.665
22	78.125	0.659
23	77.844	0.654
24	78.095	0.645
25	77.777	0.642
26	77.894	0.642
27	78.114	0.638
28	78.211	0.635
29	77.899	0.634
30	78.181	0.631
31	77.664	0.628
32	77.588	0.628
33	77.548	0.630
34	77.733	0.626
35	77.720	0.624
36	77.232	0.622
37	76.951	0.620
38	76.904	0.618
39	76.825	0.617
40	76.610	0.617
41	76.405	0.618
42	76.236	0.618
43	76.050	0.618
44	75.794	0.617
45	75.875	0.614
46	75.784	0.614
47	75.693	0.612
48	75.586	0.613
49	75.735	0.611
50	75.585	0.612
51	75.770	0.610
52	75.757	0.609
53	75.700	0.611
54	75.750	0.609
55	75.633	0.607
56	75.502	0.606
57	75.490	0.603
58	75.426	0.602
59	75.342	0.600
60	75.355	0.600
