#time(min)   pdr
1 0.00
2 77.27
3 57.14
4 68.42
5 64.70
6 73.68
7 80.95
8 75.00
9 66.66
10 76.47
11 76.19
12 45.00
13 105.88
14 54.54
15 111.11
16 45.45
17 106.66
18 47.82
19 88.23
20 75.00
21 45.83
22 106.66
23 52.38
24 83.33
25 100.00
26 50.00
27 93.75
28 59.09
29 78.94
30 65.00
31 65.00
32 88.88
33 42.85
34 94.11
35 76.19
36 61.90
37 70.00
38 66.66
39 57.14
40 66.66
41 68.75
42 94.73
43 69.56
44 45.45
45 77.77
46 65.00
47 88.88
48 45.45
49 72.22
50 73.68
51 83.33
52 65.00
53 73.68
54 66.66
55 78.94
56 57.14
57 88.88
58 60.00
59 63.15
60 60.00
