#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-De-RX100%-1hr.csc.log	1s-5m-10f-De-RX100%-1hr.csc.log
1	0.000	0.989
2	45.000	0.934
3	61.111	0.904
4	63.636	0.869
5	67.605	0.852
6	66.666	0.832
7	67.272	0.812
8	69.600	0.802
9	71.328	0.797
10	71.875	0.786
11	72.000	0.777
12	71.282	0.769
13	70.892	0.763
14	71.739	0.759
15	71.659	0.752
16	70.943	0.746
17	71.985	0.744
18	72.666	0.735
19	72.413	0.729
20	72.537	0.726
21	71.875	0.722
22	71.621	0.719
23	71.576	0.714
24	71.111	0.712
25	71.158	0.708
26	71.136	0.707
27	70.960	0.704
28	70.736	0.702
29	70.934	0.700
30	70.784	0.695
31	70.777	0.691
32	70.642	0.688
33	70.640	0.688
34	70.344	0.685
35	70.234	0.682
36	70.406	0.681
37	70.206	0.680
38	70.000	0.677
39	69.610	0.675
40	69.489	0.674
41	69.515	0.671
42	69.444	0.670
43	69.105	0.668
44	69.139	0.667
45	69.001	0.667
46	68.987	0.665
47	68.726	0.663
48	68.969	0.660
49	68.838	0.657
50	68.837	0.655
51	68.914	0.652
52	68.826	0.652
53	68.599	0.651
54	68.494	0.650
55	68.426	0.649
56	68.290	0.649
57	68.431	0.647
58	68.400	0.646
59	68.074	0.644
60	68.019	0.643
