#time(min)   pdr
1 0.00
2 73.68
3 77.77
4 66.66
5 87.50
6 63.15
7 81.25
8 57.14
9 64.70
10 94.11
11 73.68
12 61.11
13 88.23
14 84.21
15 82.35
16 60.00
17 112.50
18 33.33
19 100.00
20 65.00
21 76.47
22 55.00
23 81.25
24 83.33
25 73.68
26 85.00
27 47.61
28 92.30
29 77.77
30 77.77
31 78.94
32 72.22
33 100.00
34 70.00
35 77.77
36 73.68
37 55.55
38 82.35
39 63.15
40 70.58
41 87.50
42 70.00
43 82.35
44 57.14
45 68.75
46 93.33
47 66.66
48 66.66
49 75.00
50 88.23
51 84.21
52 72.22
53 76.47
54 72.22
55 55.55
56 133.33
57 37.50
58 115.38
59 61.90
60 82.35
