#time(min)   pdr
1 0.00
2 80.00
3 100.00
4 66.66
5 66.66
6 80.00
7 76.47
8 80.00
9 82.35
10 81.25
11 86.66
12 81.25
13 61.11
14 80.00
15 62.50
16 73.33
17 64.70
18 80.00
19 61.11
20 60.00
21 75.00
22 68.75
23 68.75
24 73.33
25 64.70
26 58.82
27 86.66
28 55.55
29 85.71
30 68.75
31 73.33
32 82.35
33 64.70
34 100.00
35 52.63
36 80.00
37 75.00
38 66.66
39 66.66
40 75.00
41 68.75
42 75.00
43 70.58
44 62.50
45 80.00
46 68.75
47 92.85
48 82.35
49 70.58
50 75.00
51 80.00
52 64.70
53 86.66
54 55.55
55 66.66
56 73.33
57 58.82
58 68.75
59 80.00
60 64.70
