#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-10m-10f-A-RX100%-1hr.csc.log	1s-10m-10f-A-RX100%-1hr.csc.log
1	100.000	0.981
2	70.000	0.921
3	77.777	0.886
4	77.500	0.866
5	82.242	0.845
6	83.076	0.828
7	78.846	0.828
8	77.222	0.832
9	77.073	0.828
10	77.826	0.827
11	79.607	0.834
12	79.642	0.832
13	80.592	0.828
14	81.515	0.825
15	82.303	0.818
16	82.894	0.814
17	83.990	0.811
18	84.651	0.807
19	85.087	0.801
20	85.625	0.798
21	86.282	0.795
22	85.660	0.796
23	86.021	0.796
24	86.206	0.795
25	86.161	0.792
26	86.507	0.790
27	86.544	0.789
28	85.882	0.788
29	86.260	0.789
30	86.438	0.789
31	86.807	0.785
32	86.666	0.784
33	86.633	0.784
34	86.867	0.784
35	86.915	0.782
36	87.159	0.782
37	87.375	0.780
38	87.634	0.779
39	87.866	0.777
40	88.163	0.776
41	88.434	0.776
42	88.737	0.774
43	88.636	0.776
44	88.703	0.776
45	88.858	0.774
46	89.026	0.773
47	89.149	0.774
48	89.237	0.773
49	88.953	0.772
50	88.780	0.772
51	88.703	0.770
52	88.515	0.771
53	88.735	0.769
54	88.947	0.769
55	88.995	0.768
56	88.985	0.768
57	89.125	0.767
58	89.230	0.766
59	89.423	0.765
60	89.459	0.764
