#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-10m-10f-De-RX100%-1hr.csc.log	1s-10m-10f-De-RX100%-1hr.csc.log
1	100.000	0.981
2	70.000	0.921
3	77.777	0.884
4	77.500	0.867
5	82.692	0.845
6	84.615	0.823
7	78.980	0.810
8	78.888	0.825
9	81.067	0.814
10	82.608	0.810
11	81.960	0.804
12	82.857	0.798
13	83.606	0.794
14	83.030	0.787
15	84.180	0.786
16	85.263	0.777
17	85.856	0.773
18	86.279	0.767
19	87.004	0.761
20	87.708	0.756
21	88.212	0.748
22	88.301	0.745
23	88.628	0.741
24	88.965	0.739
25	89.438	0.733
26	89.682	0.729
27	89.143	0.732
28	88.823	0.729
29	88.684	0.725
30	88.767	0.725
31	89.006	0.722
32	89.358	0.719
33	89.219	0.714
34	89.277	0.713
35	89.369	0.711
36	89.545	0.707
37	89.712	0.705
38	89.892	0.701
39	89.947	0.698
40	90.000	0.697
41	90.139	0.694
42	90.291	0.692
43	90.512	0.689
44	90.370	0.687
45	90.497	0.688
46	90.619	0.687
47	90.735	0.684
48	90.338	0.687
49	90.207	0.689
50	90.081	0.687
51	89.721	0.690
52	89.765	0.690
53	89.739	0.689
54	89.699	0.687
55	89.718	0.686
56	89.782	0.685
57	89.829	0.684
58	90.000	0.683
59	90.041	0.681
60	90.000	0.680
