#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-10m-5f-A-RX100%-1hr.csc.log	1s-10m-5f-A-RX100%-1hr.csc.log
1	0	0
2	20.000	0.930
3	13.333	0.904
4	15.555	0.898
5	16.666	0.893
6	18.666	0.889
7	20.000	0.884
8	18.095	0.879
9	16.666	0.872
10	15.555	0.874
11	15.333	0.871
12	15.757	0.871
13	15.555	0.870
14	15.897	0.868
15	15.714	0.865
16	16.000	0.863
17	15.416	0.861
18	14.901	0.861
19	14.444	0.863
20	14.035	0.864
21	13.666	0.866
22	13.333	0.868
23	13.333	0.872
24	14.492	0.875
25	14.166	0.877
26	13.866	0.875
27	13.589	0.876
28	13.333	0.876
29	13.095	0.874
30	12.873	0.875
31	12.666	0.875
32	12.473	0.875
33	12.916	0.876
34	12.727	0.878
35	12.549	0.880
36	12.190	0.881
37	12.037	0.880
38	11.891	0.882
39	11.754	0.883
40	11.623	0.883
41	11.500	0.883
42	11.382	0.884
43	11.269	0.883
44	11.162	0.882
45	11.060	0.882
46	10.962	0.882
47	10.869	0.883
48	11.347	0.882
49	11.388	0.881
50	11.292	0.881
51	11.200	0.881
52	11.111	0.881
53	11.025	0.881
54	10.943	0.881
55	10.864	0.881
56	10.787	0.881
57	10.714	0.882
58	10.643	0.882
59	10.574	0.882
60	10.508	0.883
