#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-10m-5f-De-RX100%-1hr.csc.log	1s-10m-5f-De-RX100%-1hr.csc.log
1	0	0
2	20.000	0.930
3	13.333	0.904
4	15.555	0.898
5	16.666	0.892
6	18.666	0.886
7	21.111	0.878
8	19.047	0.878
9	18.333	0.877
10	17.037	0.878
11	16.666	0.874
12	16.969	0.869
13	17.777	0.867
14	17.435	0.866
15	16.666	0.863
16	16.000	0.869
17	15.416	0.868
18	14.901	0.865
19	14.444	0.863
20	14.035	0.863
21	13.666	0.861
22	13.333	0.858
23	13.030	0.857
24	12.753	0.860
25	12.500	0.859
26	13.066	0.860
27	12.820	0.858
28	13.086	0.860
29	12.857	0.859
30	13.103	0.859
31	13.111	0.858
32	13.548	0.855
33	13.333	0.855
34	13.333	0.855
35	13.137	0.855
36	12.952	0.855
37	12.962	0.855
38	12.792	0.856
39	12.631	0.855
40	12.649	0.856
41	12.666	0.857
42	12.682	0.857
43	12.539	0.857
44	12.558	0.856
45	12.575	0.857
46	13.185	0.859
47	13.188	0.858
48	13.475	0.858
49	13.333	0.859
50	13.197	0.858
51	13.066	0.858
52	12.941	0.857
53	12.948	0.858
54	12.955	0.859
55	12.962	0.858
56	12.969	0.858
57	12.857	0.857
58	12.748	0.858
59	12.758	0.858
60	12.655	0.858
