#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-Default30min-MobLeaf-RX100%-1hr.csc.log	1s-15m-Default30min-MobLeaf-RX100%-1hr.csc.log
1	100.000	0.957
2	100.000	0.889
3	100.000	0.841
4	100.000	0.805
5	98.958	0.796
6	99.166	0.770
7	99.305	0.754
8	100.000	0.738
9	99.459	0.724
10	99.047	0.709
11	99.572	0.699
12	99.607	0.692
13	99.641	0.681
14	99.333	0.676
15	99.690	0.668
16	99.420	0.659
17	99.726	0.658
18	99.743	0.649
19	99.756	0.649
20	99.770	0.642
21	99.781	0.636
22	99.791	0.633
23	99.801	0.630
24	99.809	0.628
25	99.633	0.638
26	99.649	0.633
27	99.659	0.631
28	99.674	0.624
29	99.686	0.622
30	99.696	0.624
31	97.067	0.655
32	93.900	0.709
33	91.184	0.804
34	88.266	0.857
35	85.640	0.884
36	83.270	0.898
37	80.830	0.898
38	78.809	0.896
39	76.887	0.894
40	74.802	0.892
41	73.047	0.906
42	71.397	0.917
43	69.821	0.918
44	68.102	0.921
45	66.666	0.920
46	66.470	0.922
47	64.947	0.924
48	63.943	0.928
49	62.683	0.933
50	61.621	0.933
51	60.565	0.933
52	59.307	0.932
53	58.149	0.931
54	57.083	0.930
55	56.009	0.929
56	55.020	0.927
57	54.022	0.926
58	53.100	0.925
59	52.091	0.924
60	51.310	0.923
