#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-FEATHER-ON--MobFull60min-RX100%-1hr.csc.log	1s-15m-FEATHER-ON--MobFull60min-RX100%-1hr.csc.log
1	0.000	0.964
2	16.666	0.883
3	17.647	0.856
4	12.000	0.847
5	9.000	0.845
6	7.500	0.845
7	6.293	0.841
8	5.454	0.840
9	4.687	0.837
10	4.285	0.839
11	3.846	0.836
12	3.529	0.835
13	3.225	0.833
14	3.000	0.833
15	2.777	0.830
16	2.608	0.826
17	2.425	0.820
18	2.307	0.820
19	2.173	0.820
20	2.068	0.820
21	1.982	0.819
22	1.875	0.818
23	1.778	0.817
24	1.714	0.817
25	1.645	0.815
26	1.578	0.814
27	1.520	0.814
28	1.463	0.814
29	1.408	0.813
30	1.363	0.812
31	1.311	0.811
32	1.276	0.810
33	1.243	0.810
34	1.200	0.809
35	1.162	0.808
36	1.132	0.808
37	1.101	0.807
38	1.071	0.805
39	1.042	0.804
40	1.016	0.803
41	0.993	0.802
42	0.967	0.799
43	0.944	0.797
44	0.923	0.796
45	0.900	0.794
46	0.882	0.794
47	0.862	0.792
48	0.845	0.791
49	0.827	0.790
50	0.990	0.788
51	1.150	0.790
52	1.125	0.791
53	1.107	0.792
54	1.083	0.791
55	1.064	0.791
56	1.044	0.791
57	1.026	0.792
58	1.007	0.792
59	0.987	0.791
60	0.973	0.791
