#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-LEAF-ON--MobAfter30min-RX100%-1hr.csc.log	1s-15m-LEAF-ON--MobAfter30min-RX100%-1hr.csc.log
1	100.000	0.957
2	100.000	0.889
3	100.000	0.836
4	100.000	0.797
5	100.000	0.766
6	100.000	0.735
7	100.000	0.712
8	99.393	0.719
9	99.470	0.712
10	99.523	0.699
11	99.568	0.683
12	99.607	0.667
13	99.636	0.657
14	99.666	0.644
15	99.686	0.637
16	99.710	0.631
17	99.727	0.625
18	99.743	0.620
19	99.756	0.611
20	99.770	0.602
21	99.782	0.595
22	99.791	0.589
23	99.801	0.584
24	99.809	0.579
25	100.000	0.573
26	99.824	0.568
27	99.830	0.564
28	99.837	0.556
29	99.843	0.555
30	99.848	0.552
31	96.350	0.568
32	93.617	0.668
33	90.410	0.709
34	88.400	0.731
35	85.769	0.766
36	83.396	0.794
37	81.449	0.804
38	78.928	0.802
39	76.736	0.798
40	74.915	0.795
41	72.777	0.791
42	71.290	0.788
43	69.351	0.784
44	68.000	0.781
45	66.499	0.778
46	65.000	0.775
47	63.627	0.772
48	62.253	0.768
49	60.714	0.764
50	59.729	0.762
51	58.568	0.759
52	57.402	0.755
53	56.329	0.753
54	55.250	0.750
55	54.255	0.746
56	53.253	0.743
57	52.287	0.740
58	51.395	0.737
59	50.495	0.734
60	49.662	0.731
