#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-LEAF-ON--MobFull60min-RX100%-1hr.csc.log	1s-15m-LEAF-ON--MobFull60min-RX100%-1hr.csc.log
1	25.000	0.970
2	23.333	0.946
3	16.000	0.951
4	12.000	0.953
5	9.090	0.957
6	7.500	0.949
7	6.428	0.942
8	5.454	0.936
9	4.787	0.937
10	4.285	0.938
11	3.896	0.936
12	3.529	0.931
13	3.225	0.935
14	3.000	0.938
15	2.786	0.944
16	2.608	0.944
17	2.432	0.941
18	2.307	0.939
19	2.179	0.935
20	2.068	0.932
21	1.965	0.929
22	1.875	0.926
23	1.792	0.923
24	1.714	0.920
25	1.639	0.917
26	1.578	0.914
27	1.517	0.911
28	1.463	0.908
29	1.410	0.912
30	1.363	0.916
31	1.323	0.919
32	1.276	0.918
33	1.236	0.916
34	1.200	0.914
35	1.161	0.913
36	1.132	0.915
37	1.094	0.912
38	1.071	0.911
39	1.039	0.909
40	1.016	0.907
41	0.992	0.905
42	0.967	0.903
43	1.151	0.903
44	1.128	0.905
45	1.106	0.912
46	1.078	0.913
47	1.053	0.912
48	1.032	0.910
49	1.011	0.909
50	0.990	0.907
51	0.974	0.906
52	0.952	0.904
53	0.932	0.902
54	0.916	0.901
55	0.901	0.900
56	0.883	0.898
57	0.868	0.896
58	0.852	0.895
59	0.839	0.893
60	0.823	0.891
