#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-LEAF-to-Feather--MobAfter30min-RX100%-1hr.csc.log	1s-15m-LEAF-to-Feather--MobAfter30min-RX100%-1hr.csc.log
1	100.000	0.957
2	100.000	0.889
3	100.000	0.836
4	100.000	0.797
5	100.000	0.766
6	100.000	0.735
7	100.000	0.712
8	99.393	0.719
9	99.470	0.712
10	99.523	0.699
11	99.568	0.683
12	99.607	0.667
13	99.636	0.657
14	99.666	0.644
15	99.686	0.637
16	99.710	0.631
17	99.727	0.625
18	99.743	0.620
19	99.756	0.611
20	99.770	0.602
21	99.782	0.595
22	99.791	0.589
23	99.801	0.584
24	99.809	0.579
25	100.000	0.573
26	99.824	0.568
27	99.830	0.564
28	99.837	0.556
29	99.843	0.555
30	99.848	0.552
31	96.350	0.572
32	93.617	0.595
33	90.534	0.613
34	88.000	0.631
35	85.603	0.641
36	83.018	0.649
37	80.586	0.657
38	78.571	0.662
39	76.923	0.668
40	74.576	0.674
41	72.527	0.677
42	70.967	0.683
43	69.254	0.685
44	67.692	0.686
45	66.066	0.687
46	64.705	0.687
47	63.461	0.686
48	61.971	0.684
49	60.717	0.681
50	59.459	0.678
51	58.149	0.674
52	57.142	0.671
53	56.074	0.668
54	55.000	0.670
55	54.054	0.673
56	53.012	0.675
57	52.050	0.678
58	51.162	0.680
59	50.190	0.679
60	49.438	0.679
