#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-De--MobFull60min-RX100%-1hr.csc.log	1s-15m-De--MobFull60min-RX100%-1hr.csc.log
1	66.666	0.969
2	43.333	0.920
3	34.615	0.929
4	24.000	0.936
5	18.367	0.956
6	15.000	0.963
7	12.676	0.959
8	10.909	0.953
9	9.625	0.948
10	8.571	0.942
11	7.826	0.937
12	7.058	0.931
13	6.521	0.926
14	6.000	0.923
15	5.660	0.919
16	5.217	0.913
17	4.891	0.908
18	4.615	0.904
19	4.368	0.900
20	4.137	0.895
21	3.913	0.890
22	3.750	0.886
23	3.571	0.881
24	3.809	0.880
25	3.846	0.893
26	3.684	0.901
27	3.529	0.903
28	3.414	0.903
29	3.286	0.900
30	3.181	0.897
31	3.061	0.894
32	2.978	0.893
33	2.876	0.890
34	2.800	0.888
35	2.734	0.886
36	2.641	0.883
37	2.564	0.881
38	2.500	0.878
39	2.439	0.876
40	2.372	0.873
41	2.310	0.871
42	2.258	0.868
43	2.196	0.865
44	2.153	0.863
45	2.102	0.860
46	2.058	0.859
47	2.011	0.857
48	1.971	0.854
49	1.930	0.852
50	1.891	0.850
51	1.853	0.847
52	1.818	0.845
53	1.787	0.843
54	1.750	0.840
55	1.721	0.838
56	1.686	0.836
57	1.657	0.833
58	1.627	0.831
59	1.599	0.829
60	1.573	0.827
