#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-De--NoMob-RX100%-1hr.csc.log	1s-15m-De--NoMob-RX100%-1hr.csc.log
1	100.000	0.964
2	96.666	0.891
3	100.000	0.845
4	100.000	0.798
5	100.000	0.768
6	100.000	0.733
7	99.290	0.706
8	100.000	0.691
9	100.000	0.681
10	100.000	0.658
11	100.000	0.642
12	100.000	0.624
13	100.000	0.612
14	100.000	0.603
15	100.000	0.593
16	100.000	0.587
17	100.000	0.583
18	100.000	0.580
19	100.000	0.571
20	100.000	0.563
21	100.000	0.554
22	100.000	0.546
23	100.000	0.543
24	100.000	0.537
25	100.000	0.530
26	100.000	0.526
27	100.000	0.521
28	100.000	0.516
29	100.000	0.512
30	100.000	0.510
31	99.853	0.507
32	100.000	0.507
33	100.000	0.502
34	100.000	0.499
35	100.000	0.496
36	100.000	0.494
37	100.000	0.496
38	100.000	0.494
39	100.000	0.492
40	100.000	0.486
41	100.000	0.483
42	100.000	0.482
43	100.000	0.478
44	100.000	0.482
45	100.000	0.480
46	100.000	0.476
47	100.000	0.475
48	100.000	0.473
49	100.000	0.471
50	100.000	0.470
51	99.911	0.468
52	100.000	0.466
53	100.000	0.465
54	100.000	0.464
55	100.000	0.463
56	100.000	0.460
57	100.000	0.459
58	100.000	0.458
59	100.000	0.456
60	100.000	0.455
