#time(min)   pdr
1 0.00
2 91.30
3 125.00
4 84.00
5 114.28
6 83.33
7 119.04
8 87.50
9 114.28
10 91.66
11 104.54
12 95.65
13 100.00
14 95.65
15 114.28
16 100.00
17 87.50
18 109.52
19 91.66
20 109.52
21 95.65
22 86.36
23 136.84
24 88.46
25 95.65
26 95.45
27 114.28
28 104.16
29 80.00
30 110.00
31 100.00
32 100.00
33 104.54
34 104.34
35 87.50
36 119.04
37 80.00
38 100.00
39 125.00
40 96.00
41 84.00
42 130.00
43 73.07
44 110.52
45 114.28
46 91.66
47 104.54
48 100.00
49 95.65
50 86.36
51 130.00
52 80.00
53 125.00
54 80.00
55 119.04
56 95.83
57 95.65
58 104.54
59 95.65
60 100.00
