#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-Default30min-NOLEAF-NO-Mob-RX100%-1hr.csc.log	1s-15m-Default30min-NOLEAF-NO-Mob-RX100%-1hr.csc.log
1	100.000	0.966
2	93.333	0.872
3	94.339	0.808
4	93.333	0.775
5	93.814	0.739
6	93.333	0.705
7	93.006	0.675
8	93.333	0.660
9	93.582	0.647
10	93.333	0.627
11	93.162	0.608
12	93.333	0.597
13	93.115	0.583
14	93.333	0.570
15	93.230	0.560
16	93.333	0.559
17	93.460	0.550
18	93.333	0.547
19	93.236	0.538
20	93.333	0.533
21	93.231	0.524
22	93.333	0.520
23	93.213	0.515
24	93.333	0.509
25	93.211	0.509
26	93.333	0.501
27	93.254	0.494
28	93.333	0.491
29	93.375	0.491
30	93.333	0.487
31	93.392	0.486
32	93.191	0.481
33	92.994	0.479
34	92.800	0.476
35	92.654	0.474
36	92.578	0.472
37	92.673	0.470
38	92.500	0.468
39	92.236	0.467
40	92.203	0.464
41	92.044	0.463
42	91.827	0.461
43	91.482	0.460
44	90.974	0.458
45	90.290	0.456
46	89.803	0.453
47	89.251	0.453
48	88.075	0.452
49	87.120	0.451
50	86.126	0.448
51	85.022	0.444
52	84.329	0.443
53	83.319	0.442
54	82.500	0.440
55	81.439	0.437
56	80.722	0.436
57	79.952	0.433
58	79.069	0.431
59	78.158	0.429
60	77.528	0.428
