#time(min)   pdr
1 0.00
2 95.83
3 86.95
4 95.45
5 95.45
6 91.30
7 91.30
8 95.45
9 95.45
10 95.65
11 83.33
12 90.47
13 109.52
14 95.83
15 76.00
16 105.00
17 95.45
18 95.65
19 83.33
20 100.00
21 91.30
22 86.36
23 109.52
24 75.00
25 120.00
26 84.00
27 91.30
28 81.81
29 126.31
30 76.92
31 100.00
32 83.33
33 82.60
34 100.00
35 69.23
36 121.05
37 75.00
38 90.47
39 86.95
40 77.27
41 105.00
42 64.00
43 80.95
44 62.50
45 58.33
46 66.66
47 36.36
48 39.13
49 40.90
50 39.13
51 36.00
52 50.00
53 23.07
54 31.57
55 39.13
56 36.36
57 31.81
58 30.43
59 33.33
60 33.33
