#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-De-Im8-MobFull60min-RX100%-1hr.csc.log	1s-15m-De-Im8-MobFull60min-RX100%-1hr.csc.log
1	66.666	0.969
2	43.333	0.950
3	33.962	0.965
4	24.000	0.967
5	18.947	0.975
6	15.000	0.976
7	12.765	0.976
8	10.909	0.972
9	9.574	0.969
10	8.571	0.965
11	7.758	0.962
12	7.058	0.958
13	6.545	0.956
14	6.000	0.952
15	5.642	0.949
16	5.217	0.949
17	4.918	0.947
18	4.615	0.944
19	4.347	0.941
20	4.137	0.941
21	3.938	0.938
22	5.625	0.940
23	5.988	0.944
24	5.714	0.949
25	5.464	0.955
26	5.263	0.956
27	5.067	0.955
28	4.878	0.953
29	4.731	0.952
30	4.545	0.950
31	4.405	0.949
32	4.255	0.947
33	4.137	0.946
34	4.000	0.944
35	3.870	0.943
36	3.773	0.941
37	3.654	0.940
38	3.571	0.938
39	3.468	0.937
40	3.389	0.936
41	3.303	0.934
42	3.225	0.933
43	3.167	0.932
44	3.076	0.930
45	3.012	0.929
46	2.941	0.927
47	2.876	0.926
48	2.816	0.924
49	2.757	0.923
50	2.702	0.922
51	2.647	0.920
52	2.597	0.919
53	2.542	0.918
54	2.500	0.916
55	3.191	0.917
56	3.293	0.919
57	3.223	0.925
58	3.178	0.929
59	3.125	0.929
60	3.071	0.928
