#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-FEATHER--MobFull60min-RX100%-1hr.csc.log	1s-15m-FEATHER--MobFull60min-RX100%-1hr.csc.log
1	25.000	0.968
2	16.666	0.882
3	20.370	0.851
4	16.000	0.850
5	12.371	0.844
6	10.000	0.836
7	8.275	0.827
8	7.272	0.826
9	6.382	0.824
10	5.714	0.821
11	5.194	0.816
12	4.705	0.814
13	4.347	0.815
14	4.000	0.814
15	3.715	0.812
16	3.478	0.813
17	3.260	0.811
18	3.076	0.810
19	2.919	0.810
20	2.988	0.810
21	2.838	0.815
22	2.708	0.816
23	2.589	0.818
24	2.476	0.818
25	2.376	0.819
26	2.280	0.818
27	2.188	0.818
28	2.113	0.818
29	2.037	0.816
30	1.969	0.815
31	1.908	0.816
32	1.843	0.815
33	1.793	0.814
34	1.733	0.813
35	1.681	0.811
36	1.635	0.809
37	1.591	0.811
38	1.547	0.810
39	1.508	0.811
40	1.468	0.811
41	1.434	0.811
42	1.397	0.811
43	1.365	0.809
44	1.333	0.808
45	1.300	0.806
46	1.274	0.804
47	1.248	0.803
48	1.220	0.800
49	1.193	0.798
50	1.171	0.796
51	1.148	0.793
52	1.125	0.790
53	1.102	0.787
54	1.083	0.786
55	1.063	0.783
56	1.044	0.781
57	1.025	0.779
58	1.007	0.779
59	0.993	0.777
60	0.973	0.775
