#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-15m-FEATHER-NoMob-RX100%-1hr.csc.log	1s-15m-FEATHER-NoMob-RX100%-1hr.csc.log
1	75.000	0.968
2	100.000	0.840
3	100.000	0.761
4	100.000	0.715
5	100.000	0.676
6	100.000	0.639
7	100.000	0.610
8	100.000	0.587
9	98.952	0.582
10	98.095	0.604
11	98.260	0.595
12	98.039	0.577
13	98.566	0.564
14	98.333	0.552
15	98.452	0.545
16	98.840	0.534
17	98.904	0.529
18	98.717	0.519
19	99.033	0.510
20	99.080	0.502
21	99.124	0.495
22	99.166	0.487
23	99.011	0.478
24	99.238	0.476
25	99.264	0.471
26	99.298	0.466
27	99.324	0.459
28	99.349	0.454
29	99.374	0.451
30	99.545	0.447
31	99.414	0.442
32	99.432	0.438
33	99.315	0.434
34	99.466	0.431
35	99.479	0.427
36	99.496	0.423
37	99.510	0.419
38	99.523	0.416
39	99.539	0.412
40	99.548	0.412
41	99.559	0.407
42	99.569	0.408
43	99.581	0.402
44	99.589	0.402
45	99.497	0.400
46	99.411	0.404
47	99.425	0.406
48	99.436	0.405
49	99.448	0.404
50	99.459	0.402
51	99.468	0.401
52	99.480	0.397
53	99.490	0.397
54	99.500	0.396
55	99.426	0.394
56	99.518	0.392
57	99.527	0.391
58	99.457	0.390
59	99.541	0.389
60	99.550	0.389
