#time(min)   pdr
1 0.00
2 92.30
3 87.50
4 109.52
5 95.65
6 100.00
7 104.54
8 104.34
9 65.38
10 105.26
11 120.00
12 100.00
13 83.33
14 109.52
15 100.00
16 90.90
17 120.00
18 100.00
19 87.50
20 104.76
21 104.54
22 108.69
23 76.92
24 100.00
25 136.84
26 84.61
27 104.54
28 104.34
29 87.50
30 109.52
31 95.65
32 109.09
33 84.00
34 95.00
35 136.84
36 84.61
37 104.54
38 117.39
39 64.28
40 135.29
41 95.65
42 118.18
43 73.07
44 105.26
45 109.52
46 100.00
47 87.50
48 104.76
49 104.54
50 78.26
51 150.00
52 81.48
53 104.54
54 86.95
55 119.04
56 100.00
57 83.33
58 100.00
59 125.00
60 80.00
