#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-10f-A-RX100%-1hr.csc.log	1s-1m-10f-A-RX100%-1hr.csc.log
1	0.000	0.991
2	0.000	0.988
3	0.000	0.986
4	0.000	0.980
5	0.000	0.979
6	0.000	0.975
7	10.000	0.973
8	18.181	0.974
9	16.666	0.974
10	14.285	0.973
11	29.411	0.970
12	40.000	0.967
13	40.909	0.966
14	44.000	0.963
15	50.000	0.962
16	48.387	0.960
17	48.484	0.959
18	47.222	0.958
19	44.736	0.958
20	43.589	0.958
21	41.463	0.958
22	43.181	0.957
23	43.478	0.957
24	46.938	0.956
25	50.000	0.955
26	50.909	0.954
27	51.724	0.953
28	52.459	0.952
29	50.793	0.952
30	50.000	0.953
31	51.428	0.950
32	50.704	0.950
33	50.684	0.951
34	52.000	0.951
35	51.948	0.951
36	52.439	0.949
37	51.764	0.948
38	51.162	0.949
39	50.574	0.949
40	49.438	0.950
41	48.913	0.949
42	49.473	0.948
43	49.484	0.948
44	48.484	0.949
45	47.524	0.949
46	48.543	0.949
47	50.925	0.948
48	50.450	0.947
49	50.000	0.948
50	49.122	0.948
51	48.695	0.948
52	48.305	0.947
53	47.933	0.948
54	47.540	0.948
55	49.206	0.948
56	48.837	0.948
57	48.872	0.947
58	49.264	0.947
59	48.550	0.947
60	48.201	0.947
