#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-10f-De-RX100%-1hr.csc.log	1s-1m-10f-De-RX100%-1hr.csc.log
1	0.000	0.991
2	0.000	0.988
3	0.000	0.981
4	0.000	0.979
5	0.000	0.978
6	0.000	0.972
7	0.000	0.968
8	9.090	0.967
9	8.333	0.966
10	7.142	0.962
11	22.222	0.954
12	30.000	0.951
13	30.434	0.946
14	32.000	0.943
15	37.037	0.943
16	34.482	0.942
17	38.235	0.936
18	38.888	0.933
19	37.837	0.933
20	38.461	0.931
21	41.463	0.929
22	40.909	0.926
23	42.857	0.920
24	43.137	0.920
25	46.296	0.919
26	46.428	0.917
27	46.551	0.916
28	48.333	0.914
29	48.387	0.913
30	46.875	0.914
31	47.058	0.912
32	46.376	0.912
33	46.478	0.911
34	46.575	0.910
35	46.753	0.907
36	47.500	0.906
37	47.619	0.904
38	48.837	0.904
39	47.727	0.903
40	47.191	0.903
41	47.872	0.899
42	48.979	0.897
43	48.000	0.897
44	47.524	0.897
45	47.115	0.896
46	46.666	0.895
47	46.728	0.894
48	45.871	0.894
49	46.017	0.893
50	45.614	0.894
51	44.827	0.893
52	44.915	0.892
53	44.537	0.892
54	44.262	0.891
55	44.354	0.890
56	44.094	0.890
57	44.274	0.888
58	44.776	0.887
59	44.927	0.885
60	44.604	0.885
