#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-De-RX100%-1hr.csc.log	1s-20m-20f-De-RX100%-1hr.csc.log
1	58.823	0.961
2	52.857	0.904
3	51.219	0.876
4	56.741	0.855
5	57.826	0.840
6	62.237	0.827
7	62.908	0.816
8	64.540	0.802
9	65.178	0.791
10	66.200	0.779
11	67.269	0.772
12	67.156	0.763
13	67.824	0.757
14	68.251	0.748
15	68.660	0.743
16	69.090	0.736
17	68.700	0.732
18	68.950	0.731
19	68.787	0.729
20	69.519	0.726
21	70.201	0.723
22	69.913	0.717
23	69.866	0.712
24	69.721	0.710
25	69.648	0.712
26	69.868	0.709
27	69.880	0.706
28	69.742	0.705
29	69.488	0.704
30	69.746	0.701
31	70.343	0.698
32	70.319	0.694
33	70.183	0.692
34	70.339	0.690
35	70.324	0.690
36	70.073	0.689
37	70.086	0.688
38	70.263	0.689
39	70.058	0.690
40	70.141	0.687
41	70.404	0.684
42	70.210	0.686
43	70.250	0.686
44	70.162	0.683
45	70.179	0.681
46	69.852	0.680
47	69.927	0.683
48	69.835	0.685
49	69.738	0.686
50	69.736	0.684
51	69.859	0.685
52	69.747	0.685
53	69.794	0.685
54	69.784	0.684
55	69.716	0.683
56	69.829	0.684
57	69.684	0.684
58	69.686	0.687
59	69.516	0.687
60	69.718	0.687
