#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-A-RX100%-1hr.csc.log	1s-20m-20f-A-RX100%-1hr.csc.log
1	75.000	0.972
2	58.333	0.917
3	63.888	0.891
4	68.125	0.866
5	70.192	0.844
6	71.153	0.827
7	72.151	0.814
8	73.333	0.813
9	73.058	0.801
10	74.347	0.791
11	74.168	0.787
12	74.642	0.781
13	74.712	0.775
14	74.242	0.767
15	74.297	0.763
16	74.736	0.758
17	74.907	0.752
18	75.697	0.749
19	75.301	0.747
20	76.145	0.745
21	76.383	0.741
22	76.320	0.740
23	76.190	0.738
24	76.034	0.738
25	75.702	0.737
26	75.873	0.736
27	75.917	0.734
28	76.029	0.731
29	75.764	0.729
30	76.095	0.728
31	76.420	0.727
32	76.217	0.726
33	76.225	0.726
34	76.204	0.724
35	76.343	0.723
36	76.363	0.723
37	76.174	0.723
38	76.397	0.720
39	76.322	0.720
40	76.632	0.719
41	76.758	0.720
42	76.796	0.718
43	76.755	0.719
44	76.527	0.717
45	76.457	0.720
46	76.415	0.722
47	76.190	0.721
48	76.144	0.722
49	75.986	0.722
50	76.016	0.721
51	75.977	0.722
52	75.937	0.722
53	75.977	0.724
54	76.015	0.724
55	76.079	0.724
56	76.086	0.724
57	76.210	0.723
58	76.258	0.723
59	76.143	0.722
60	76.250	0.722
