#Node	Received	Sent	PDR(%)
39	91	90	101.11
58	90	90	100.00
44	90	91	98.90
54	90	91	98.90
53	91	91	100.00
41	91	90	101.11
43	91	91	100.00
36	91	90	101.11
34	82	90	91.11
24	0	90	0.00
8	2	91	2.19
48	81	90	90.00
60	88	90	97.77
50	88	91	96.70
55	90	91	98.90
28	0	91	0.00
11	1	91	1.09
31	0	91	0.00
35	91	90	101.11
45	91	90	101.11
2	3	90	3.33
6	5	90	5.55
30	0	90	0.00
18	0	91	0.00
4	4	90	4.44
33	89	91	97.80
27	2	91	2.19
7	5	91	5.49
47	87	91	95.60
40	91	91	100.00
61	90	91	98.90
15	6	90	6.66
14	7	91	7.69
20	4	90	4.44
16	2	91	2.19
37	91	90	101.11
46	0	91	0.00
25	1	91	1.09
52	87	90	96.66
10	0	91	0.00
12	1	90	1.11
49	85	91	93.40
29	3	91	3.29
22	0	90	0.00
26	1	91	1.09
51	88	91	96.70
9	2	91	2.19
56	91	91	100.00
5	0	90	0.00
42	86	91	94.50
19	2	91	2.19
38	88	91	96.70
17	2	90	2.22
13	0	90	0.00
59	87	90	96.66
3	5	91	5.49
21	2	91	2.19
23	3	90	3.33
57	1	91	1.09
32	88	90	97.77
