#Node	Received	Sent	PDR(%)
43	72	72	100.00
39	74	72	102.77
34	68	72	94.44
24	0	91	0.00
8	1	91	1.09
48	66	72	91.66
60	70	72	97.22
50	70	72	97.22
55	71	72	98.61
28	4	90	4.44
11	2	91	2.19
35	74	72	102.77
54	73	73	100.00
44	74	72	102.77
45	72	72	100.00
31	2	91	2.19
2	2	90	2.22
30	0	91	0.00
6	3	90	3.33
18	0	91	0.00
4	1	90	1.11
33	71	72	98.61
27	0	91	0.00
41	73	72	101.38
47	69	73	94.52
53	73	72	101.38
40	70	72	97.22
7	5	90	5.55
61	73	72	101.38
15	2	90	2.22
25	5	91	5.49
20	1	91	1.09
16	0	91	0.00
37	71	73	97.26
58	73	72	101.38
14	7	91	7.69
46	66	72	91.66
52	70	72	97.22
10	0	90	0.00
12	1	90	1.11
29	2	90	2.22
49	69	73	94.52
22	2	90	2.22
51	72	72	100.00
26	1	91	1.09
56	71	72	98.61
9	2	91	2.19
5	1	91	1.09
42	69	72	95.83
19	5	90	5.55
38	64	73	87.67
17	6	91	6.59
36	73	72	101.38
13	8	90	8.88
3	3	91	3.29
59	70	72	97.22
23	4	91	4.39
21	4	90	4.44
57	0	72	0.00
32	68	72	94.44
