#Node	Received	Sent	PDR(%)
43	72	73	98.63
34	69	72	95.83
39	74	72	102.77
24	3	72	4.16
8	6	72	8.33
48	65	73	89.04
60	71	73	97.26
50	72	72	100.00
28	4	72	5.55
55	72	72	100.00
11	4	73	5.47
31	2	72	2.77
35	74	72	102.77
54	73	72	101.38
44	73	72	101.38
45	73	72	101.38
2	2	72	2.77
30	0	73	0.00
6	0	72	0.00
18	2	73	2.73
4	4	73	5.47
33	71	72	98.61
27	1	72	1.38
41	72	72	100.00
47	73	73	100.00
40	71	72	98.61
53	73	72	101.38
7	10	72	13.88
61	72	72	100.00
14	3	72	4.16
25	2	72	2.77
15	3	72	4.16
20	8	73	10.95
37	70	72	97.22
46	68	72	94.44
58	72	72	100.00
16	0	73	0.00
52	72	72	100.00
10	3	72	4.16
12	1	72	1.38
49	68	72	94.44
29	6	72	8.33
51	73	72	101.38
26	7	73	9.58
56	73	73	100.00
22	3	72	4.16
9	5	72	6.94
5	6	72	8.33
42	66	72	91.66
19	4	72	5.55
38	66	72	91.66
17	2	72	2.77
36	73	72	101.38
13	2	72	2.77
59	69	72	95.83
3	3	72	4.16
21	0	72	0.00
23	3	72	4.16
57	67	72	93.05
32	69	72	95.83
