#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	23.529	0.968
2	15.833	0.934
3	22.748	0.914
4	26.666	0.903
5	32.225	0.889
6	35.208	0.877
7	37.588	0.869
8	39.696	0.856
9	40.504	0.850
10	41.428	0.845
11	42.580	0.841
12	43.627	0.836
13	44.374	0.830
14	44.666	0.826
15	44.642	0.821
16	45.000	0.817
17	45.189	0.813
18	45.320	0.809
19	45.790	0.805
20	45.977	0.802
21	46.426	0.799
22	46.458	0.796
23	46.483	0.794
24	46.619	0.791
25	47.013	0.790
26	46.798	0.788
27	46.708	0.785
28	46.788	0.783
29	46.904	0.781
30	46.818	0.780
31	46.839	0.778
32	46.843	0.777
33	46.852	0.775
34	46.900	0.774
35	46.868	0.773
36	46.886	0.773
37	47.013	0.771
38	46.875	0.769
39	46.958	0.767
40	46.864	0.766
41	46.835	0.765
42	46.827	0.765
43	46.861	0.764
44	46.769	0.765
45	46.805	0.763
46	46.789	0.763
47	46.773	0.761
48	46.760	0.760
49	46.803	0.759
50	46.779	0.758
51	46.722	0.757
52	46.774	0.757
53	46.757	0.756
54	46.729	0.755
55	46.768	0.755
56	46.726	0.755
57	46.765	0.754
58	46.705	0.754
59	46.723	0.754
60	46.722	0.754
