#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	5.882	0.983
2	18.867	0.943
3	22.162	0.921
4	25.095	0.909
5	28.405	0.894
6	30.985	0.882
7	34.319	0.869
8	35.374	0.861
9	35.724	0.854
10	36.933	0.849
11	38.415	0.847
12	39.410	0.841
13	39.639	0.834
14	39.962	0.831
15	40.017	0.829
16	40.064	0.828
17	40.532	0.823
18	40.873	0.820
19	41.330	0.816
20	41.474	0.814
21	41.778	0.812
22	41.555	0.810
23	41.772	0.807
24	41.803	0.805
25	41.840	0.802
26	41.829	0.801
27	41.870	0.798
28	42.088	0.796
29	42.100	0.795
30	42.109	0.793
31	42.096	0.790
32	42.196	0.788
33	42.131	0.786
34	42.210	0.787
35	42.224	0.786
36	42.311	0.784
37	42.332	0.782
38	42.445	0.781
39	42.394	0.780
40	42.515	0.779
41	42.611	0.778
42	42.613	0.777
43	42.569	0.776
44	42.530	0.775
45	42.542	0.775
46	42.643	0.774
47	42.586	0.773
48	42.562	0.773
49	42.597	0.772
50	42.706	0.771
51	42.741	0.771
52	42.774	0.771
53	42.806	0.770
54	42.804	0.769
55	42.798	0.768
56	42.783	0.769
57	42.932	0.768
58	42.890	0.767
59	42.848	0.766
60	42.812	0.765
