#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	0.000	0.987
2	14.444	0.948
3	18.404	0.931
4	23.750	0.915
5	27.070	0.902
6	28.717	0.891
7	30.406	0.884
8	31.666	0.875
9	33.278	0.868
10	34.347	0.863
11	35.124	0.860
12	36.071	0.856
13	36.513	0.851
14	36.969	0.846
15	37.124	0.841
16	37.280	0.838
17	37.828	0.835
18	38.294	0.833
19	38.450	0.829
20	38.680	0.826
21	38.984	0.823
22	39.433	0.821
23	39.628	0.818
24	39.770	0.816
25	39.680	0.813
26	39.841	0.811
27	39.928	0.808
28	39.852	0.805
29	39.943	0.803
30	40.045	0.801
31	40.141	0.800
32	40.213	0.800
33	40.157	0.797
34	40.120	0.797
35	40.202	0.796
36	40.227	0.794
37	40.339	0.793
38	40.322	0.791
39	40.314	0.789
40	40.306	0.787
41	40.258	0.787
42	40.291	0.786
43	40.297	0.785
44	40.277	0.783
45	40.259	0.782
46	40.265	0.781
47	40.282	0.780
48	40.254	0.778
49	40.243	0.777
50	40.298	0.776
51	40.254	0.775
52	40.260	0.775
53	40.291	0.773
54	40.300	0.772
55	40.245	0.771
56	40.314	0.770
57	40.293	0.769
58	40.326	0.768
59	40.293	0.767
60	40.315	0.767
