#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-50m-50f-A-RX100%-1hr.csc.log	1s-50m-50f-A-RX100%-1hr.csc.log
1	0	0
2	52.000	0.945
3	53.500	0.916
4	56.000	0.895
5	57.000	0.883
6	58.000	0.875
7	57.166	0.870
8	57.142	0.866
9	57.750	0.861
10	57.730	0.855
11	57.700	0.849
12	57.272	0.843
13	57.333	0.839
14	57.538	0.836
15	57.500	0.832
16	57.266	0.832
17	57.125	0.831
18	57.176	0.828
19	56.944	0.827
20	57.210	0.824
21	57.600	0.822
22	57.619	0.819
23	57.636	0.816
24	57.869	0.814
25	57.791	0.813
26	57.720	0.812
27	57.730	0.810
28	57.740	0.809
29	57.678	0.807
30	57.655	0.807
31	57.700	0.804
32	57.838	0.803
33	57.718	0.802
34	57.787	0.801
35	57.911	0.801
36	57.971	0.800
37	57.944	0.797
38	57.837	0.797
39	57.894	0.798
40	57.794	0.798
41	57.775	0.798
42	57.829	0.797
43	57.833	0.796
44	57.883	0.795
45	57.967	0.796
46	57.857	0.795
47	57.751	0.794
48	57.756	0.794
49	57.699	0.793
50	57.685	0.792
51	57.671	0.791
52	57.619	0.790
53	57.607	0.790
54	57.576	0.791
55	57.640	0.790
56	57.610	0.789
57	57.617	0.788
58	57.606	0.787
59	57.596	0.786
60	57.619	0.786
