#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-50m-50f-De-RX100%-1hr.csc.log	1s-50m-50f-De-RX100%-1hr.csc.log
1	0	0
2	52.000	0.941
3	53.500	0.909
4	55.000	0.888
5	54.250	0.875
6	54.000	0.864
7	54.500	0.853
8	54.428	0.844
9	54.375	0.838
10	54.555	0.832
11	55.900	0.825
12	55.818	0.818
13	55.833	0.814
14	55.384	0.809
15	55.500	0.805
16	55.333	0.802
17	55.687	0.799
18	55.823	0.798
19	55.944	0.796
20	55.842	0.793
21	56.450	0.791
22	56.714	0.788
23	56.727	0.785
24	56.782	0.782
25	56.625	0.780
26	56.640	0.779
27	56.769	0.777
28	56.740	0.775
29	56.714	0.775
30	56.758	0.774
31	56.966	0.775
32	57.096	0.773
33	56.937	0.771
34	56.787	0.770
35	56.676	0.768
36	56.571	0.769
37	56.694	0.769
38	56.756	0.770
39	56.605	0.770
40	56.641	0.769
41	56.625	0.767
42	56.536	0.766
43	56.619	0.765
44	56.604	0.764
45	56.545	0.764
46	56.511	0.763
47	56.521	0.763
48	56.489	0.763
49	56.395	0.762
50	56.408	0.761
51	56.520	0.761
52	56.490	0.761
53	56.423	0.761
54	56.377	0.761
55	56.314	0.761
56	56.272	0.761
57	56.232	0.761
58	56.228	0.760
59	56.189	0.760
60	56.152	0.759
