#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	16.000	0.913
2	27.272	0.874
3	43.529	0.861
4	42.608	0.850
5	41.379	0.836
6	38.285	0.832
7	35.121	0.835
8	31.063	0.834
9	29.056	0.837
10	26.440	0.838
11	25.153	0.843
12	23.314	0.842
13	23.453	0.846
14	23.515	0.843
15	25.165	0.841
16	26.543	0.837
17	27.606	0.833
18	28.545	0.827
19	29.137	0.823
20	30.819	0.821
21	31.875	0.816
22	31.547	0.815
23	30.298	0.813
24	29.347	0.809
25	28.385	0.805
26	27.409	0.803
27	26.682	0.800
28	26.011	0.797
29	25.139	0.794
30	24.324	0.791
31	23.664	0.789
32	23.279	0.795
33	22.986	0.794
34	22.623	0.794
35	22.764	0.793
36	22.829	0.790
37	22.755	0.787
38	22.900	0.786
39	23.388	0.785
40	23.790	0.783
41	24.292	0.781
42	24.558	0.780
43	24.607	0.778
44	24.342	0.779
45	24.017	0.780
46	23.619	0.780
47	23.187	0.779
48	22.876	0.778
49	22.426	0.778
50	22.122	0.777
51	21.752	0.776
52	21.645	0.775
53	21.346	0.774
54	21.356	0.773
55	21.190	0.773
56	21.007	0.772
57	20.922	0.771
58	20.950	0.769
59	20.923	0.769
60	20.909	0.768
