#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	0.000	0.996
2	77.272	0.940
3	81.818	0.913
4	82.539	0.890
5	78.823	0.871
6	78.095	0.853
7	76.562	0.835
8	77.027	0.823
9	76.331	0.815
10	75.789	0.809
11	75.714	0.803
12	75.107	0.799
13	75.793	0.800
14	75.182	0.792
15	75.593	0.793
16	75.949	0.791
17	76.785	0.787
18	77.247	0.781
19	77.777	0.777
20	78.250	0.774
21	79.047	0.768
22	78.781	0.762
23	78.279	0.758
24	78.762	0.758
25	78.811	0.754
26	78.707	0.750
27	78.610	0.747
28	78.483	0.743
29	78.098	0.744
30	77.868	0.744
31	77.777	0.740
32	77.217	0.738
33	77.265	0.737
34	77.089	0.740
35	76.923	0.739
36	76.870	0.735
37	76.984	0.733
38	76.863	0.732
39	77.164	0.731
40	77.317	0.728
41	77.672	0.726
42	77.842	0.724
43	77.802	0.722
44	77.544	0.719
45	77.513	0.717
46	77.566	0.716
47	77.639	0.716
48	77.553	0.717
49	77.579	0.715
50	77.281	0.713
51	77.259	0.711
52	77.238	0.710
53	77.380	0.709
54	77.219	0.708
55	77.180	0.706
56	77.009	0.703
57	77.145	0.704
58	77.397	0.702
59	77.440	0.700
60	77.741	0.698
