#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-A-RX100%-1hr.csc.log	1s-5m-5f-A-RX100%-1hr.csc.log
1	0	0
2	60.000	0.942
3	55.000	0.912
4	43.333	0.896
5	42.500	0.911
6	48.000	0.902
7	46.666	0.895
8	42.857	0.904
9	40.000	0.908
10	37.777	0.914
11	36.000	0.917
12	34.545	0.911
13	33.333	0.905
14	32.307	0.899
15	31.428	0.894
16	30.666	0.888
17	30.000	0.883
18	29.411	0.878
19	28.888	0.873
20	28.421	0.868
21	28.000	0.863
22	27.619	0.859
23	27.272	0.854
24	29.130	0.860
25	28.750	0.858
26	28.400	0.855
27	27.692	0.886
28	27.777	0.884
29	27.857	0.882
30	27.931	0.883
31	27.666	0.881
32	27.419	0.879
33	27.187	0.876
34	26.969	0.875
35	26.764	0.875
36	26.857	0.876
37	27.222	0.876
38	27.027	0.878
39	26.842	0.880
40	26.666	0.879
41	26.500	0.877
42	26.341	0.875
43	26.190	0.873
44	26.046	0.870
45	25.909	0.868
46	25.777	0.866
47	25.652	0.864
48	25.531	0.863
49	25.416	0.861
50	25.306	0.859
51	25.200	0.857
52	25.098	0.855
53	25.000	0.853
54	24.905	0.851
55	24.814	0.851
56	25.636	0.850
57	25.535	0.854
58	25.964	0.859
59	25.862	0.858
60	25.762	0.858
