#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-De-RX100%-1hr.csc.log	1s-5m-5f-De-RX100%-1hr.csc.log
1	0	0
2	60.000	0.942
3	55.000	0.912
4	43.333	0.914
5	47.500	0.910
6	52.000	0.895
7	48.333	0.884
8	44.285	0.877
9	41.250	0.886
10	38.888	0.951
11	37.000	0.957
12	35.454	0.954
13	34.166	0.952
14	33.076	0.950
15	33.571	0.948
16	34.000	0.945
17	33.750	0.942
18	33.529	0.939
19	32.777	0.937
20	32.631	0.935
21	32.500	0.933
22	31.904	0.931
23	31.363	0.929
24	33.478	0.928
25	33.333	0.926
26	32.800	0.924
27	32.307	0.923
28	31.851	0.921
29	31.428	0.919
30	31.034	0.917
31	30.666	0.915
32	30.322	0.913
33	30.000	0.912
34	30.303	0.911
35	30.294	0.910
36	30.285	0.909
37	30.000	0.909
38	29.729	0.907
39	29.473	0.906
40	29.230	0.905
41	29.000	0.903
42	28.780	0.901
43	28.571	0.899
44	28.372	0.897
45	28.181	0.896
46	28.000	0.894
47	28.260	0.893
48	28.085	0.892
49	27.916	0.890
50	27.551	0.891
51	27.800	0.890
52	28.235	0.890
53	28.269	0.889
54	28.301	0.889
55	28.148	0.888
56	28.000	0.908
57	27.857	0.907
58	27.719	0.906
59	27.586	0.905
60	27.457	0.904
