#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-Dy-RX100%-1hr.csc.log	1s-5m-5f-Dy-RX100%-1hr.csc.log
1	0	0
2	60.000	0.942
3	55.000	0.912
4	43.333	0.914
5	47.500	0.910
6	52.000	0.895
7	48.333	0.884
8	44.285	0.877
9	41.250	0.886
10	38.888	0.951
11	37.000	0.957
12	35.454	0.954
13	34.166	0.952
14	33.076	0.950
15	33.571	0.948
16	34.000	0.945
17	33.750	0.942
18	33.529	0.939
19	32.777	0.937
20	32.631	0.935
21	32.500	0.933
22	31.904	0.931
23	31.363	0.929
24	33.478	0.928
25	33.333	0.926
26	32.800	0.924
27	32.307	0.923
28	31.851	0.921
29	31.428	0.919
30	31.034	0.917
31	30.666	0.915
32	30.322	0.913
33	30.000	0.913
34	30.303	0.911
35	30.294	0.910
36	30.285	0.909
37	30.000	0.909
38	29.729	0.908
39	30.000	0.907
40	30.256	0.906
41	30.750	0.905
42	30.731	0.905
43	30.476	0.907
44	30.232	0.906
45	30.000	0.906
46	29.777	0.906
47	29.565	0.904
48	29.361	0.903
49	29.166	0.901
50	28.775	0.900
51	29.200	0.898
52	29.803	0.898
53	30.192	0.898
54	30.943	0.897
55	30.740	0.896
56	30.727	0.896
57	31.250	0.896
58	31.929	0.895
59	32.068	0.893
60	31.864	0.892
