#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-10f-CORAL_Linear800m-1h.csc.log	1s-1m-10f-CORAL_Linear800m-1h.csc.log
1	0.000	0.970
2	33.333	0.955
3	66.666	0.936
4	82.352	0.871
5	84.000	0.849
6	87.096	0.842
7	86.842	0.834
8	84.444	0.828
9	82.352	0.825
10	83.050	0.818
11	80.303	0.816
12	80.821	0.812
13	82.926	0.807
14	83.908	0.809
15	85.106	0.806
16	84.158	0.805
17	85.321	0.802
18	86.086	0.803
19	86.991	0.800
20	87.596	0.800
21	88.235	0.801
22	88.811	0.800
23	89.261	0.800
24	89.808	0.797
25	89.634	0.796
26	89.473	0.795
27	89.265	0.796
28	89.729	0.794
29	90.104	0.795
30	89.949	0.794
31	90.243	0.796
32	90.610	0.794
33	90.497	0.794
34	90.748	0.794
35	90.517	0.795
36	90.456	0.794
37	90.612	0.795
38	90.980	0.793
39	90.530	0.790
40	90.706	0.791
41	90.545	0.792
42	90.459	0.791
43	90.721	0.791
44	90.909	0.791
45	90.789	0.792
46	90.996	0.792
47	91.167	0.792
48	91.076	0.791
49	91.265	0.791
50	91.445	0.791
51	91.329	0.791
52	91.501	0.791
53	91.712	0.790
54	91.825	0.791
55	91.733	0.790
56	91.863	0.790
57	92.307	0.789
58	92.151	0.790
59	92.307	0.789
60	92.420	0.790
