#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-24f-RPL-Grid230mx230-1h.csc.log	1s-1m-24f-RPL-Grid230mx230-1h.csc.log
1	100.000	0.988
2	100.000	0.976
3	90.000	0.887
4	87.096	0.855
5	95.833	0.815
6	96.610	0.805
7	96.052	0.789
8	97.701	0.796
9	97.938	0.797
10	98.260	0.784
11	97.744	0.770
12	98.601	0.773
13	97.500	0.769
14	97.660	0.770
15	97.883	0.766
16	97.989	0.766
17	98.148	0.759
18	97.797	0.765
19	98.367	0.759
20	98.039	0.759
21	98.513	0.760
22	97.879	0.758
23	98.344	0.756
24	98.392	0.759
25	98.153	0.758
26	97.935	0.761
27	98.022	0.761
28	98.092	0.759
29	98.172	0.759
30	98.227	0.759
31	98.284	0.758
32	98.345	0.755
33	98.409	0.754
34	98.226	0.756
35	98.286	0.755
36	98.329	0.757
37	98.170	0.759
38	98.422	0.758
39	98.464	0.759
40	98.317	0.758
41	98.369	0.757
42	98.401	0.758
43	98.448	0.756
44	98.307	0.755
45	98.347	0.754
46	98.222	0.754
47	98.262	0.753
48	98.145	0.754
49	98.181	0.754
50	98.222	0.753
51	98.121	0.752
52	97.866	0.752
53	97.622	0.752
54	97.537	0.750
55	97.570	0.749
56	97.496	0.747
57	97.542	0.746
58	97.458	0.748
59	97.500	0.748
60	97.423	0.748
