#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-25f-CORAL_Linear1800mx80mOLYMPUS-40min.csc.log	1s-1m-25f-CORAL_Linear1800mx80mOLYMPUS-40min.csc.log
1	100.000	0.973
2	100.000	0.970
3	78.947	0.880
4	81.250	0.843
5	84.444	0.828
6	86.885	0.808
7	89.041	0.801
8	90.000	0.788
9	90.476	0.792
10	91.596	0.788
11	91.366	0.779
12	91.891	0.782
13	92.638	0.776
14	93.220	0.775
15	93.877	0.770
16	94.174	0.773
17	94.090	0.772
18	94.468	0.767
19	94.901	0.760
20	95.075	0.762
21	95.340	0.759
22	95.563	0.758
23	95.833	0.751
24	95.962	0.754
25	95.894	0.751
26	96.296	0.753
27	96.448	0.753
28	96.578	0.752
29	96.717	0.750
30	96.821	0.751
31	96.919	0.752
32	97.031	0.753
33	97.104	0.754
34	97.002	0.752
35	97.089	0.752
36	97.177	0.751
37	97.281	0.748
38	97.333	0.750
39	97.407	0.750
40	97.292	0.748
