#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-1m-25f-RPL_Linear1800mx80mOLYMPUS-40min.csc.log	1s-1m-25f-RPL_Linear1800mx80mOLYMPUS-40min.csc.log
1	100.000	0.996
2	66.666	0.994
3	77.777	0.970
4	81.250	0.953
5	81.818	0.949
6	81.967	0.937
7	82.666	0.927
8	83.333	0.918
9	83.962	0.911
10	84.033	0.907
11	84.328	0.901
12	84.459	0.898
13	85.276	0.896
14	86.440	0.890
15	86.458	0.885
16	86.407	0.885
17	86.301	0.884
18	85.957	0.880
19	86.614	0.874
20	86.742	0.872
21	87.544	0.870
22	88.054	0.868
23	88.673	0.867
24	89.130	0.864
25	89.489	0.861
26	90.028	0.858
27	90.270	0.854
28	89.736	0.855
29	89.620	0.857
30	89.486	0.859
31	89.436	0.856
32	89.269	0.856
33	89.254	0.853
34	89.079	0.852
35	88.981	0.851
36	88.911	0.851
37	88.823	0.849
38	88.761	0.847
39	88.619	0.846
40	88.628	0.843
