#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	40.000	0.968
2	33.333	0.956
3	37.500	0.916
4	35.937	0.902
5	39.560	0.892
6	36.283	0.888
7	32.394	0.880
8	33.950	0.879
9	33.689	0.875
10	33.175	0.875
11	32.188	0.870
12	31.153	0.863
13	30.795	0.860
14	31.391	0.859
15	30.211	0.858
16	30.446	0.856
17	30.079	0.856
18	29.975	0.854
19	30.205	0.851
20	30.701	0.852
21	30.977	0.850
22	30.099	0.848
23	30.360	0.849
24	29.963	0.848
25	29.636	0.847
26	30.182	0.846
27	31.537	0.845
28	31.748	0.846
29	31.203	0.846
30	31.241	0.845
31	31.034	0.844
32	31.066	0.844
33	31.282	0.843
34	31.038	0.843
35	30.984	0.842
36	30.696	0.842
37	30.733	0.841
38	30.657	0.841
39	30.359	0.841
40	30.232	0.841
41	29.927	0.841
42	29.849	0.840
43	29.695	0.840
44	29.693	0.839
45	29.400	0.838
46	29.643	0.838
47	29.311	0.837
48	29.597	0.838
49	29.759	0.837
50	29.722	0.838
51	29.416	0.837
52	29.354	0.838
53	29.090	0.839
54	29.092	0.839
55	29.005	0.839
56	28.998	0.839
57	28.960	0.839
58	28.983	0.841
59	28.977	0.841
60	28.899	0.841
