#Node	Received	Sent	PDR(%)
1	0	1	0.00
2	36	121	29.75
3	24	121	19.83
4	24	121	19.83
5	23	121	19.00
6	25	121	20.66
7	7	30	23.33
8	1	30	3.33
9	4	29	13.79
10	0	30	0.00
11	9	29	31.03
12	30	30	100.00
13	29	29	100.00
14	0	30	0.00
15	0	29	0.00
16	30	30	100.00
17	29	29	100.00
18	4	30	13.33
19	0	29	0.00
20	0	30	0.00
21	30	30	100.00
22	0	30	0.00
23	0	29	0.00
24	0	30	0.00
25	0	29	0.00
26	29	29	100.00
27	2	30	6.66
28	1	29	3.44
29	0	30	0.00
30	0	29	0.00
31	30	30	100.00
32	29	30	96.66
33	1	29	3.44
34	0	30	0.00
35	29	29	100.00
