#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr Coral.csc.log	1s-5m-15f-De-RX100%-1hr Coral.csc.log
1	33.333	0.945
2	70.000	0.913
3	55.555	0.898
4	52.000	0.894
5	50.000	0.883
6	47.500	0.883
7	44.680	0.881
8	40.000	0.878
9	40.322	0.877
10	41.428	0.881
11	41.250	0.877
12	40.909	0.877
13	44.000	0.872
14	44.444	0.874
15	46.153	0.876
16	47.656	0.876
17	48.175	0.878
18	49.655	0.879
19	49.673	0.880
20	50.000	0.882
21	50.000	0.882
22	49.152	0.883
23	49.462	0.881
24	48.717	0.880
25	48.275	0.879
26	48.356	0.877
27	47.963	0.876
28	47.863	0.874
29	46.938	0.872
30	46.400	0.873
31	46.899	0.873
32	46.441	0.873
33	46.014	0.873
34	46.853	0.873
35	46.959	0.872
36	46.688	0.874
37	47.923	0.874
38	48.148	0.875
39	48.656	0.875
40	48.823	0.877
41	49.142	0.877
42	49.303	0.877
43	48.767	0.878
44	48.670	0.877
45	49.095	0.876
46	49.113	0.875
47	48.138	0.875
48	47.584	0.873
49	46.698	0.872
50	46.046	0.872
51	45.433	0.872
52	44.988	0.872
53	44.420	0.872
54	43.923	0.871
55	43.333	0.871
56	43.326	0.872
57	43.661	0.872
58	43.564	0.872
59	43.444	0.873
60	43.461	0.874
61	43.796	0.873
62	44.074	0.874
63	43.715	0.874
64	51.948	0.876
65	51.923	0.876
66	51.789	0.875
67	51.752	0.873
68	51.619	0.872
69	51.200	0.872
70	50.790	0.872
