#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-24f-RPL_Linear1kmx80m-1h.csc.log	1s-5m-24f-RPL_Linear1kmx80m-1h.csc.log
1	60.000	0.961
2	60.000	0.941
3	52.631	0.906
4	52.542	0.884
5	50.632	0.873
6	47.572	0.859
7	49.230	0.848
8	48.979	0.846
9	50.898	0.841
10	50.261	0.832
11	49.302	0.827
12	51.063	0.827
13	51.778	0.827
14	51.971	0.821
15	52.317	0.820
16	53.250	0.819
17	54.913	0.817
18	53.678	0.817
19	53.944	0.817
20	54.257	0.818
21	55.045	0.815
22	54.725	0.816
23	54.507	0.815
24	55.110	0.813
25	55.343	0.813
26	55.616	0.812
27	55.985	0.810
28	56.218	0.810
29	56.814	0.810
30	56.576	0.810
31	56.116	0.809
32	55.851	0.809
33	55.890	0.808
34	56.328	0.807
35	56.527	0.806
36	56.356	0.807
37	55.938	0.806
38	55.514	0.805
39	55.395	0.804
40	55.229	0.803
41	55.302	0.803
42	55.195	0.803
43	55.277	0.802
44	55.591	0.803
45	55.601	0.801
46	55.645	0.801
47	55.952	0.800
48	55.793	0.801
49	55.745	0.799
50	55.648	0.799
51	55.280	0.799
52	54.887	0.798
53	54.385	0.799
54	54.184	0.799
55	53.944	0.798
56	53.532	0.798
57	54.129	0.798
58	54.290	0.798
59	54.617	0.799
60	54.376	0.798
