#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	40.000	0.960
2	46.666	0.942
3	50.000	0.914
4	69.491	0.887
5	72.500	0.877
6	73.786	0.868
7	74.603	0.862
8	74.829	0.858
9	73.809	0.856
10	74.869	0.850
11	75.348	0.847
12	75.744	0.846
13	76.470	0.843
14	77.419	0.841
15	78.947	0.838
16	78.018	0.839
17	78.197	0.840
18	79.291	0.840
19	79.434	0.839
20	78.102	0.837
21	78.110	0.836
22	78.461	0.836
23	78.661	0.835
24	78.957	0.835
25	79.118	0.835
26	79.558	0.835
27	79.858	0.834
28	79.386	0.834
29	79.344	0.833
30	78.922	0.832
31	78.506	0.831
32	78.518	0.831
33	78.048	0.830
34	78.442	0.831
35	78.284	0.829
36	79.030	0.831
37	78.625	0.830
38	78.438	0.830
39	77.925	0.830
40	78.495	0.829
41	78.677	0.828
42	78.212	0.828
43	77.693	0.827
44	77.635	0.827
45	77.661	0.826
46	77.822	0.825
47	78.009	0.826
48	77.896	0.825
49	77.851	0.825
50	77.871	0.825
51	77.605	0.825
52	77.937	0.825
53	78.100	0.825
54	77.911	0.824
55	78.293	0.823
56	78.470	0.824
57	78.647	0.823
58	78.748	0.823
59	78.459	0.822
60	78.233	0.822
