#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	20.000	0.990
2	26.666	0.979
3	55.000	0.953
4	59.322	0.936
5	61.445	0.918
6	61.165	0.905
7	61.417	0.895
8	61.224	0.888
9	61.538	0.882
10	61.780	0.874
11	62.149	0.869
12	62.127	0.864
13	63.846	0.855
14	63.082	0.852
15	63.210	0.849
16	63.467	0.845
17	62.682	0.843
18	62.670	0.840
19	63.589	0.837
20	63.503	0.831
21	63.448	0.827
22	62.857	0.826
23	62.916	0.823
24	62.725	0.821
25	63.409	0.816
26	63.167	0.814
27	62.877	0.811
28	62.691	0.810
29	62.786	0.809
30	62.599	0.807
31	62.385	0.806
32	62.518	0.806
33	62.660	0.804
34	62.447	0.801
35	62.449	0.799
36	62.516	0.797
37	62.770	0.795
38	62.701	0.793
39	63.164	0.793
40	62.984	0.791
41	62.814	0.788
42	62.569	0.787
43	62.322	0.787
44	62.406	0.785
45	62.148	0.783
46	62.156	0.782
47	62.027	0.780
48	62.025	0.779
49	62.036	0.778
50	62.091	0.777
51	62.248	0.775
52	62.331	0.773
53	62.235	0.772
54	62.295	0.771
55	62.288	0.769
56	62.177	0.767
57	62.040	0.766
58	61.908	0.765
59	61.841	0.764
60	61.657	0.763
