#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	40.000	0.966
2	33.333	0.950
3	36.111	0.920
4	49.152	0.901
5	53.571	0.884
6	59.223	0.878
7	57.936	0.871
8	55.782	0.866
9	55.555	0.860
10	56.020	0.857
11	58.878	0.857
12	57.872	0.859
13	57.471	0.854
14	55.913	0.853
15	55.882	0.854
16	55.108	0.865
17	54.700	0.868
18	54.223	0.872
19	54.896	0.877
20	54.744	0.880
21	54.272	0.883
22	54.725	0.882
23	55.323	0.881
24	55.911	0.883
25	56.321	0.883
26	56.906	0.884
27	57.726	0.885
28	57.580	0.884
29	56.910	0.884
30	56.735	0.887
31	56.790	0.888
32	56.888	0.887
33	56.671	0.887
34	57.162	0.888
35	57.645	0.889
36	58.060	0.890
37	57.888	0.891
38	58.240	0.892
39	58.212	0.893
40	58.166	0.893
41	58.123	0.893
42	57.988	0.892
43	57.393	0.891
44	56.975	0.890
45	56.756	0.889
46	56.765	0.888
47	56.886	0.888
48	56.572	0.886
49	57.006	0.886
50	56.769	0.885
51	56.972	0.884
52	57.040	0.884
53	57.155	0.883
54	57.377	0.882
55	57.336	0.881
56	57.439	0.881
57	57.736	0.880
58	57.898	0.880
59	57.525	0.879
60	57.319	0.878
