#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	80.000	0.969
2	26.666	0.952
3	29.729	0.915
4	28.813	0.897
5	31.250	0.880
6	31.067	0.869
7	28.455	0.864
8	27.210	0.853
9	27.906	0.849
10	27.748	0.846
11	26.818	0.843
12	26.382	0.840
13	26.070	0.834
14	25.806	0.829
15	25.742	0.827
16	25.077	0.824
17	25.144	0.825
18	24.795	0.822
19	25.192	0.821
20	25.060	0.821
21	25.517	0.818
22	25.274	0.818
23	25.104	0.817
24	25.050	0.817
25	25.478	0.816
26	25.598	0.813
27	26.642	0.812
28	26.575	0.811
29	26.307	0.810
30	26.148	0.811
31	26.219	0.808
32	26.370	0.808
33	26.149	0.807
34	26.147	0.808
35	26.450	0.808
36	26.736	0.808
37	26.403	0.809
38	26.394	0.807
39	26.410	0.808
40	26.556	0.808
41	26.514	0.808
42	26.368	0.808
43	26.120	0.807
44	26.517	0.806
45	26.659	0.805
46	26.449	0.805
47	26.673	0.806
48	26.582	0.804
49	26.806	0.804
50	26.610	0.804
51	26.349	0.804
52	26.367	0.804
53	26.232	0.804
54	26.056	0.804
55	26.013	0.804
56	26.350	0.803
57	26.731	0.803
58	27.024	0.803
59	26.835	0.803
60	26.723	0.803
