#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	60.000	0.931
2	53.333	0.819
3	54.054	0.669
4	52.542	0.584
5	53.086	0.506
6	55.339	0.446
7	54.330	0.395
8	52.380	0.360
9	50.887	0.329
10	50.785	0.302
11	50.462	0.277
12	50.212	0.312
13	51.171	0.294
14	50.537	0.277
15	50.333	0.262
16	50.464	0.248
17	51.420	0.233
18	50.408	0.225
19	50.383	0.214
20	49.878	0.206
21	49.885	0.196
22	50.109	0.190
23	50.418	0.218
24	51.302	0.211
25	52.198	0.203
26	52.117	0.197
27	52.640	0.190
28	52.810	0.185
29	52.700	0.179
30	52.614	0.175
31	54.033	0.169
32	54.222	0.165
33	53.868	0.161
34	53.963	0.182
35	54.312	0.178
36	54.259	0.174
37	53.885	0.170
38	53.779	0.166
39	53.597	0.161
40	53.349	0.159
41	53.150	0.155
42	53.072	0.152
43	53.210	0.149
44	53.141	0.146
45	53.014	0.160
46	53.102	0.157
47	53.273	0.154
48	53.067	0.151
49	52.722	0.149
50	52.754	0.146
51	52.607	0.144
52	52.645	0.141
53	52.936	0.138
54	53.235	0.137
55	53.553	0.134
56	53.532	0.148
57	53.664	0.146
58	53.809	0.144
59	53.749	0.142
60	53.679	0.139
