#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-A-RX100%-1hr.csc-1.log	1s-5m-5f-A-RX100%-1hr.csc-1.log
1	0	0
2	70.000	0.944
3	60.000	0.913
4	63.333	0.931
5	60.000	0.946
6	56.000	0.953
7	56.666	0.955
8	54.285	0.957
9	57.500	0.958
10	58.888	0.959
11	60.000	0.960
12	61.818	0.960
13	60.833	0.961
14	60.000	0.961
15	59.285	0.961
16	60.000	0.962
17	60.000	0.962
18	60.588	0.962
19	61.111	0.962
20	61.578	0.962
21	62.500	0.962
22	61.904	0.962
23	61.363	0.962
24	60.434	0.962
25	60.000	0.963
26	59.200	0.963
27	59.615	0.963
28	59.629	0.963
29	60.357	0.963
30	60.689	0.963
31	60.666	0.963
32	60.645	0.963
33	60.312	0.963
34	60.000	0.963
35	60.294	0.963
36	60.285	0.963
37	59.722	0.963
38	59.459	0.963
39	59.473	0.963
40	59.230	0.963
41	59.500	0.963
42	59.512	0.963
43	59.523	0.963
44	59.302	0.963
45	59.318	0.963
46	59.333	0.963
47	59.565	0.963
48	60.000	0.963
49	59.583	0.963
50	59.387	0.963
51	59.400	0.963
52	59.215	0.963
53	59.807	0.963
54	59.622	0.963
55	59.259	0.963
56	59.090	0.963
57	58.928	0.963
58	58.947	0.963
59	58.793	0.963
60	58.813	0.963
