#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-De-RX100%-1hr.csc-1.log	1s-5m-5f-De-RX100%-1hr.csc-1.log
1	0	0
2	70.000	0.939
3	55.000	0.909
4	56.666	0.890
5	52.500	0.884
6	52.000	0.873
7	53.333	0.868
8	58.571	0.855
9	57.500	0.843
10	56.666	0.836
11	56.000	0.827
12	56.363	0.824
13	55.833	0.818
14	54.615	0.813
15	54.285	0.807
16	54.666	0.803
17	54.375	0.796
18	54.705	0.792
19	53.888	0.788
20	55.263	0.787
21	56.000	0.783
22	56.666	0.780
23	56.363	0.776
24	55.652	0.774
25	55.833	0.774
26	56.000	0.771
27	55.769	0.767
28	55.925	0.764
29	56.785	0.760
30	56.896	0.758
31	57.333	0.754
32	57.419	0.750
33	57.812	0.747
34	57.575	0.744
35	57.352	0.742
36	57.428	0.739
37	57.500	0.735
38	57.567	0.731
39	57.368	0.729
40	57.179	0.726
41	57.250	0.723
42	57.560	0.721
43	57.619	0.719
44	57.906	0.717
45	58.181	0.717
46	58.444	0.714
47	58.478	0.711
48	58.297	0.710
49	58.125	0.708
50	58.163	0.706
51	58.200	0.705
52	58.235	0.702
53	58.076	0.701
54	57.924	0.699
55	57.962	0.698
56	57.818	0.697
57	57.678	0.697
58	57.894	0.696
59	58.103	0.693
60	57.796	0.694
