#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-5f-Dy-RX100%-1hr.csc-1.log	1s-5m-5f-Dy-RX100%-1hr.csc-1.log
1	0	0
2	70.000	0.939
3	55.000	0.909
4	56.666	0.890
5	52.500	0.884
6	52.000	0.873
7	53.333	0.868
8	58.571	0.855
9	57.500	0.843
10	56.666	0.836
11	56.000	0.827
12	56.363	0.824
13	55.833	0.818
14	54.615	0.813
15	54.285	0.807
16	54.666	0.803
17	54.375	0.796
18	54.705	0.792
19	53.888	0.788
20	55.263	0.787
21	56.000	0.783
22	56.666	0.780
23	56.363	0.776
24	55.652	0.774
25	55.833	0.774
26	56.000	0.771
27	55.769	0.767
28	55.925	0.764
29	56.785	0.760
30	56.896	0.758
31	57.333	0.754
32	57.419	0.750
33	57.812	0.747
34	57.575	0.745
35	57.352	0.742
36	57.428	0.739
37	57.500	0.735
38	57.567	0.732
39	57.368	0.730
40	57.435	0.727
41	57.250	0.725
42	57.560	0.721
43	57.380	0.719
44	57.674	0.718
45	57.954	0.754
46	58.222	0.780
47	58.260	0.800
48	58.297	0.817
49	58.125	0.830
50	58.775	0.841
51	58.800	0.850
52	59.019	0.858
53	59.038	0.865
54	59.056	0.871
55	58.888	0.877
56	58.909	0.882
57	58.928	0.886
58	58.947	0.890
59	59.137	0.893
60	59.152	0.896
